,Density,333.33,Jobs/Sq.Mile,TimeDensity,5.555499999999999,,,,,,,,,,,,,,,,,,,,,
117.5,5.321075608520426e-05,43351.625,3611,240839.9526875,12.815275978026696,2.0916352313326643,,117.5,5.321075608520426e-05,240839.9526875,2.0916352313326643,,,,,,,,,,,,,,,
122.5,3.647986840805442e-05,47119.625,3768,261773.07668749997,9.549447390331537,1.5586055763155573,,122.5,3.647986840805442e-05,261773.07668749997,1.5586055763155573,,,,,,,,,,,,,,,
127.5,2.5009620177883593e-05,51044.625,3925,283578.41418749996,7.0921884294759305,1.1575459796399894,,127.5,2.5009620177883593e-05,283578.41418749996,1.1575459796399894,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.9982009780271048,,51044.625,2554059.1813749997,6126.91724926701,1000.0000000000001,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel Time,2.5,7.5,12.5,17.5,22.5,27.5,32.5,37.5,42.5,47.5,52.5,57.5,62.5,67.5,72.5,77.7,82.5,87.5,92.5,97.5,102.5,107.5,112.5,117.5,122.5,127.5
Propensity,0.31387828362186554,0.21518653981042524,0.1475261250356792,0.10113995785803535,0.06933884471683377,0.04753685376667591,0.03258999303006436,0.022342825861231035,0.015317642658124497,0.01050136531785456,0.007199454641967808,0.004935753168554774,0.003383820101995915,0.00231985638091063,0.0015904313662766518,0.0010903571236783665,0.0007475196241504185,0.0005124794219758898,0.000351342158070079,0.00024087076815963856,0.00016513454369527152,0.00011321181781332872,7.761498839546139e-05,5.321075608520426e-05,3.647986840805442e-05,2.5009620177883593e-05
JobSupply,109.0266875,981.2401874999999,2725.6671874999997,5342.3076875,8831.1616875,13192.2291875,18425.510187499996,24531.004687499997,31508.712687499996,39358.63418749999,48080.769187499995,57675.117687499995,68141.6796875,79480.45518749999,91691.44418749999,104774.64668749999,118730.06268749999,133557.69218749998,149257.53518749998,165829.59168749998,183273.86168749997,201590.34518749997,220779.0421875,240839.9526875,261773.07668749997,283578.41418749996
NormalPJS,5.58537159051259,34.462629750111056,65.62959836888263,88.1880319899945,99.94300951136093,102.35442135564764,98.00805595307226,89.4564009330182,78.77357926163907,67.45960149277101,56.49746892823493,46.4622147307284,37.633801164511304,30.093966284016943,23.801357668483465,18.645883035268156,14.485759840502748,11.171289917596365,8.559029343389723,6.51934725218395,4.939653057115522,3.724941680095914,2.7968001035747494,2.0916352313326643,1.5586055763155573,1.1575459796399894
